Name,Nomination Year,President,Country,Confirmed,Doc No.,Total Personal Contributions by Nominee,Bundling Value,Career Background,Graduate Degree(s) & Area(s) of Study,Career FSO,Career Senior FS,State Dept. Experience,Military Experience,Other Foreign Policy Experience (U.S. Gov't),Experience in Organizational Leadership,Language,Knowledge of Principal Language,Knowledge of Other Relevant Languages,Country Experience,Experience in Host,Experience In or Involving Host,Regional Experience,Experience in Region,Experience in or Involving Region
Howard Bruner Schaffer,1984,Reagan,Bangladesh,Yes,C06489496,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,Yes,,Yes,Yes
Robert D. Stuart,1984,Reagan,Norway,Yes,C06489542,153371,,,Yes (J.D.),No  ,No  ,No  ,Yes,No,Yes,,No,No,,No,No,,No,No
Brandon Hambright Grove Jr.,1984,Reagan,Democratic Republic of Congo (Zaire),Yes,C06490195,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
"Barrington King, Jr.",1984,Reagan,Brunei,Yes,C06490882,0,,,No,Yes,No,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
Clint Arlen Lauderdale,1984,Reagan,Guyana,Yes,C06490901,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Melvyn Levitsky,1984,Reagan,Bulgaria,Yes,C06490907,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Alan Wood Lukens,1984,Reagan,Republic of Congo,Yes,C06490909,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,Yes
Alberto Martinez Piedra,1984,Reagan,Guatemala,Yes,C06491020,260,,,"Yes (LL.B., Ph.D. in Economics)",No,No,No,No,"Yes (Senior Policy Advisor to US Mission to OAS, U.S. Rep. to Inter-American Economic and Social Council at OAS)",Yes,,Yes (Spanish),No,,No,No,,Yes,Yes
Larry C. Williamson,1984,Reagan,Gabon,Yes,C06491097,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,Yes
William A. Wilson,1984,Reagan,Holy See,Yes,C06491098,22390.62,,,No,No,No,No,Yes,Yes (President's Personal Rep to the Holy See),Yes,,No,No,,Yes (President's Personal Rep to the Holy See),Yes (President's Personal Rep to the Holy See),,No,No
Leonardo Neher,1984,Reagan,Burkina Faso (Upper Volta),Yes,C06496989,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
William Arthur Rugh,1984,Reagan,Yemen,Yes,C06523788,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),No,,No,No,,Yes,Yes
Weston Adams,1984,Reagan,Malawi,Yes,C06549052,861,,,Yes (LLB),No,No,No,Yes,Yes (member of U.S. Nat'l Commission to UNESCO),No,,Yes (English),No,,No,No,,No,No
Thomas H. Anderson Jr.,1984,Reagan,Antigua & Barbuda,Yes,C06549061,0,,,No,No,No,No,Yes,No,No,,Yes (English),No,,No,No,,No,No
Thomas H. Anderson Jr.,1984,Reagan,Barbados,Yes,C06549061,0,,,No,No,No,No,Yes,No,No,,Yes (English),No,,No,No,,No,No
Thomas H. Anderson Jr.,1984,Reagan,Dominica,Yes,C06549061,0,,,No,No,No,No,Yes,No,No,,Yes (English),No,,No,No,,No,No
Thomas H. Anderson Jr.,1984,Reagan,St. Kitts & Nevis,Yes,C06549061,0,,,No,No,No,No,Yes,No,No,,Yes (English),No,,No,No,,No,No
Thomas H. Anderson Jr.,1984,Reagan,St. Lucia,Yes,C06549061,0,,,No,No,No,No,Yes,No,No,,Yes (English),No,,No,No,,No,No
Thomas H. Anderson Jr.,1984,Reagan,St. Vincent & Grenadines,Yes,C06549061,0,,,No,No,No,No,Yes,No,No,,Yes (English),No,,No,No,,No,No
Peter S. Bridges,1984,Reagan,Somalia,Yes,C06549122,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (Italian),,No,No,,No,No
William L. Eagleton Jr.,1984,Reagan,Syria,Yes,C06549226,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),No,,Yes,No,,Yes,No
Paul F. Gardner,1984,Reagan,Papua New Guinea,Yes,C06549261,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Paul F. Gardner,1984,Reagan,Solomon Islands,Yes,C06549261,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Robert T. Hennemeyer,1984,Reagan,Gambia,Yes,C06549291,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
David C. Jordan,1984,Reagan,Peru,Yes,C06549306,98,,,"Yes (LLB, Ph.D.)",No,No,No,No,No,No,,Yes (Spanish),No,,Yes,Yes,,Yes,Yes
Robert Francis Kane,1984,Reagan,Ireland,Yes,C06549343,627,,,Yes (JD),No,No,No,Yes,Yes (Navy),Yes,,Yes (English),No,,No,Yes,,No,No
Clayton E. McManaway Jr.,1984,Reagan,Haiti,Yes,C06549381,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,No
David C. Miller,1984,Reagan,Zimbabwe,Yes,C06549399,141,,,Yes (JD),No,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Owen W. Roberts,1984,Reagan,Togo,Yes,C06549467,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
Robert J. Ryan Jr.,1984,Reagan,Mali,Yes,C06549475,0,,,No,Yes,Yes,Yes,No,Yes (NSC),Yes,,Yes (French),No,,No,No,,Yes,No
John W. Shirley,1984,Reagan,Tanzania,Yes,C06549483,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Edward J. Perkins,1985,Reagan,Liberia,Yes,C06121834,0,,,"Yes (M.A., Ph.D. in Public Administration)",Yes,Yes,U.S.A.I.D. assignments in Bangkok and DC; Personnel Officer and Post Management Officer in Bureau of Near Eastern and South Asian Affairs; Management Analyst in Bureau of Management Operations,Yes,U.S. military service,Yes,,Yes (English),No,,Yes (DCM in Monrovia),Yes (DCM in Monrovia),,Yes (Ghana),Yes (Director of Office of West African Affairs; Political Officer in Accra)
Thomas R. Pickering,1985,Reagan,Israel,Yes,C06121845,0,,,Not reported,Yes,Yes,Assistant Secretary for Oceans and Int'l Environmental and Scientific Affairs; Ambassador to Nigeria; Ambassador to El Salvador,No,No,Yes,,No,Yes (English),,No,No,,Yes (Jordan),Yes (Ambassador to Jordan)
Joseph Ghougassian,1985,Reagan,Qatar,Yes,C06121960,1364,,,"Yes (J.D.; M.A. in Int'l Rel.; M.A., Ph.D. in Philosophy)",No,No,,No,Special Assistant for Public and Private Liaison in Office of Refugee Resettlement at Health and Human Services; consultant with INS,No,,Yes (Arabic),Yes (English),,No,No,,"Yes (Yemen, Egypt)",Yes (Director of Peace Corps in Yemen; Lived in Egypt)
William Andreas Brown,1985,Reagan,Thailand,Yes,C06489270,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,Yes,,Yes,No
Richard R. Burt,1985,Reagan,Germany (Federal Republic),Yes,C06489289,0,,,Yes (M.A. in Int'l Rel.),No,No,Yes,No,Yes (adviser on defense and arms control to H. Reps. Republican Wednesday group),Yes,,No,No,,No,No,,No,Yes
John Pierce Ferriter,1985,Reagan,Djibouti,Yes,C06489333,0,,,Yes (LLB),Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Robert L. Pugh,1985,Reagan,Mauritania,Yes,C06489349,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,No
Joe M. Rodgers,1985,Reagan,France,Yes,C06489447,28153.89,,,No,No,No,No,No,Yes (Member of Foreign Intelligence Advisory Board),No,,No,No,,No,No,,No,No
Edward Morgan Rowell,1985,Reagan,Bolivia,Yes,C06489454,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Nicholas Ruwe,1985,Reagan,Iceland,Yes,C06489456,2402,,,Yes (M.B.A.),No,No,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
John Douglas Scanlan,1985,Reagan,Yugoslavia,Yes,C06489493,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Serbo-Croatian),No,,Yes,Yes,,Yes,No
Michael Sotirhos,1985,Reagan,Jamaica,Yes,C06489533,787,,,Yes (M.B.A.),No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
James W. Spain,1985,Reagan,Maldives,Yes,C06489537,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
James W. Spain,1985,Reagan,Sri Lanka,Yes,C06489537,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
Lewis Arthur Tambs,1985,Reagan,Costa Rica,Yes,C06489545,0,,,"Yes (M.A. in Latin American History, Ph.D. on Brazil)",No,No,Yes,Yes,Yes (11th Airborne Division in Japan),Yes,,Yes (Spanish),Yes (English),,No,No,,Yes,"Yes (M.A. in Latin American History, Ph.D. on Brazil)"
Clyde D. Taylor,1985,Reagan,Paraguay,Yes ,C06489549,0,,,Yes (M.A.),Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Jean Broward Shevlin Gerard,1985,Reagan,Luxembourg,Yes,C06490181,97101.18,,,Yes (J.D.),No,No,Yes,No,Yes (Ambassador to UNESCO),Yes,,Yes (French),No,,No,No,,Yes (Ladies Reserve Officers Association - Area Director in Europe),No
Charles A. Gillespie Jr,1985,Reagan,Colombia,Yes,C06490188,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,Yes
Irvin Hicks,1985,Reagan,Seychelles,Yes,C06490200,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Robert G. Houdek,1985,Reagan,Uganda,Yes,C06490223,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Roger Kirk,1985,Reagan,Romania,Yes ,C06490885,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Sheldon J. Krys,1985,Reagan,Trinidad & Tobago,Yes ,C06490890,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,Yes
Winston Lord,1985,Reagan,China,Yes,C06490908,0,,,Yes (M.A.),No,No,Yes,No,"Yes (Policy Planning Staff in Office of Int'l Security Affairs at Pentagon, Policy Planning at NSC)",Yes,,No,No,,No,No,,No,Yes
Gary L. Matthews,1985,Reagan,Malta,Yes,C06490936,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Gregory J. Newell,1985,Reagan,Sweden,Yes,C06490965,0,,,No,No,No,Yes,No,Yes (Assistant Sec State for IO Affairs),Yes,,No,No,,No,No,,Yes,No
Thomas Michael Tolliver Niles,1985,Reagan,Canada,Yes,C06490985,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,Yes,,No,No
John Edwin Upston,1985,Reagan,Rwanda,Yes,C06491031,240,,,No,No,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,Yes
Laurence William Lane Jr,1985,Reagan,Australia,Yes,C06496936,126380.68,,,No,No,No,No,Yes,Yes (U.S. Navy),Yes,,Yes (English),No,,No,No,,No,No
Laurence William Lane Jr,1985,Reagan,Nauru,Yes,C06496936,126380.68,,,No,No,No,No,Yes,Yes (U.S. Navy),Yes,,Yes (English),No,,No,No,,No,No
David George Newton,1985,Reagan,Iraq,Yes,C06496992,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),No,,Yes,Yes,,Yes,Yes
George Cranwell Montgomery,1985,Reagan,Oman,Yes,C06497993,0,,,Yes (J.D.),No,No,No,Yes,Yes (Navy Lieutenant),No,,No,Yes (English),,No,No,,No,No
Malcolm Richard Wilkey,1985,Reagan,Uruguay,Yes,C06523775,0,,,Yes (J.D.),No,No,No,Yes,U.S. Army,No,,Yes (Spanish),No,,No,No,,No,No
Richard Wayne Bogosian,1985,Reagan,Niger,Yes,C06526141,0,,,Yes (J.D.),Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,Yes
Fernando E. Rondon,1985,Reagan,Ecuador,Yes,C06545623,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,Yes,,Yes,Yes
Lannon Walker,1985,Reagan,Senegal,Yes,C06545643,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
Harry G. Barnes Jr.,1985,Reagan,Chile,Yes,C06549086,480,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
Natale H. Bellocchi,1985,Reagan,Botswana,Yes,C06549091,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
John P. Blane,1985,Reagan,Chad,Yes,C06549094,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,Yes,Yes,,Yes,Yes
Edwin G. Corr,1985,Reagan,El Salvador,Yes,C06549178,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,Yes
John Gunther Dean,1985,Reagan,India,Yes,C06549199,0,,,Yes (Ph.D.),Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
John A. Ferch,1985,Reagan,Honduras,Yes,C06549246,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Paul Julian Hare,1985,Reagan,Zambia,Yes,C06549278,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,Yes
Larry Craig Johnstone,1985,Reagan,Algeria,Yes,C06549303,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,No
Robert V. Keeley,1985,Reagan,Greece,Yes,C06549347,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Greek),No,,Yes,No,,No,No
Lowell C. Kilday,1985,Reagan,Dominican Republic,Yes,C06549354,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,Yes,No,,Yes,Yes
Francis J. Meehan,1985,Reagan,Germany (Democratic Republic),Yes,C06549398,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (German),No,,Yes,No,,Yes,No
Thomas A. Nassif,1985,Reagan,Morocco,Yes,C06549407,0,,,Yes (JD),No,No,Yes,Yes,Yes (Army),Yes,,Yes (French),No,,No,No,,No,Yes
Harvey F. Nelson Jr.,1985,Reagan,Swaziland,Yes,C06549410,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Francis Stephen Ruddy,1985,Reagan,Equatorial Guinea,Yes,C06549474,1376,,,"Yes (Ph.D. in Int'l Law, LLM, M.A.)",No,No,Yes,Yes,Yes (Marine Corps),Yes,,Yes (French),No,,No,No,,No,Yes
James Lilley,1986,Reagan,South Korea,Yes,C06121809,46,,,Yes (M.A.),No,No,,Yes,"Served in U.S. Army, Lieutenant in U.S. Air Force reserve; Consultant to DoD",No,,No,Yes (English),,No,No,,"Yes (Taiwan, Japan, China, Philippines, Cambodia, Thailand, Laos)","Yes (Deputy Assistant Secretary in Bureau of East Asian and Pacific Affairs; Political Coordinator and Senior East Asian Specialist on NSC; Director of American Institute in Taiwan; 27 years as CIA officer, including in Japan, Taiwan, Hong Kong, and Beijing; National Intelligence Officer for China; Adjunct Professor at Johns Hopkins, teaching Chinese economics; consultant for oil company exploring for off-shore oil in China and for United Technologies in its effort to develop joint ventures and sales in China; 27 years as CIA officer, including in Philippines, Cambodia, Thailand, Laos; attended Hong Kong University and Columbia Univ. for studies in classical Chinese)"
Edward J. Perkins,1986,Reagan,South Africa,Yes,C06121833,0,,,"Yes (M.A., Ph.D. in Public Administration)",Yes,Yes,U.S.A.I.D. assignments in Bangkok and DC; Personnel Officer and Post Management Officer in Bureau of Near Eastern and South Asian Affairs; Management Analyst in Bureau of Management Operations,Yes,U.S. military service,Yes,,Yes (English),No,,No,No,,"Yes (Ghana, Liberia)",Yes (Political Officer in Accra; DCM in Liberia; Ambassador to Liberia; Director of Office of West African Affairs)
Paul A. Russo,1986,Reagan,Antigua & Barbuda,Yes,C06122114,0,,,No,No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
Paul A. Russo,1986,Reagan,Barbados,Yes,C06122114,0,,,No,No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
Paul A. Russo,1986,Reagan,Dominica,Yes,C06122114,0,,,No,No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
Paul A. Russo,1986,Reagan,St. Kitts & Nevis,Yes,C06122114,0,,,No,No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
Paul A. Russo,1986,Reagan,St. Lucia,Yes,C06122114,0,,,No,No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
Paul A. Russo,1986,Reagan,St. Vincent & Grenadines,Yes,C06122114,0,,,No,No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
Alexander F. Watson,1986,Reagan,Peru,Yes,C06122184,0,,,Yes (M.A. in Latin American Affairs),Yes,Yes,Served in Spain; Bureau of Economic and Business Affairs; Bureau of Inter-American Affairs; Bureau of Intelligence and Research,No,No,Yes,,Yes (Spanish),No,,No,No,,"Yes (Brazil, Bolivia, Colombia, El Salvador, Dominican Republic)","Yes (DCM in Brazil, Bolivia, and Colombia; served in El Salvador, the Dominican Republic; Bureau of Inter-American Affairs; M.A. in Latin American Affairs)"
Walter E. Stadtler,1986,Reagan,Benin,Yes,C06477230,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes ,No
Theodore E. Gildred,1986,Reagan,Argentina,Yes,C06489021,48196,,,No,No,No,No,Yes,No,Yes,,Yes (Spanish),Yes (English),,No,No,,Yes,No
Reginald Bartholomew,1986,Reagan,Spain,Yes,C06489167,0,,,Yes (M.A. in Pol. Sci.),Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,Yes
Everett E. Bierman,1986,Reagan,Papua New Guinea,Yes,C06489179,143,,,Yes (M.A.),No,No,No,Yes,Yes (Minority Staff Director for House Committee on Foreign Affairs),Yes,,Yes (English),No,,No,No,,No,No
Everett E. Bierman,1986,Reagan,Solomon Islands,Yes,C06489179,143,,,Yes (M.A.),No,No,No,Yes,Yes (Minority Staff Director for House Committee on Foreign Affairs),Yes,,Yes (English),No,,No,No,,No,No
John Dale Blacken,1986,Reagan,Guinea-Bissau,Yes,C06489212,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Portuguese),No,,No,No,,No,Yes
Everett Ellis Briggs,1986,Reagan,Honduras,Yes,C06489244,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Paul Matthews Cleveland,1986,Reagan,Samoa (Western Samoa),Yes,C06489293,0,,,Yes (M.A. in Economics),Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Paul Matthews Cleveland,1986,Reagan,New Zealand,Yes,C06489294,0,,,Yes (M.A. in Economics),Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Arthur H. Davis  ,1986,Reagan,Panama,Yes,C06489303,0,,,No,No,No,Yes,Yes,Yes (Army),Yes,,Yes (Spanish),No,,No,No,,Yes,No
Harry W. Shlaudeman,1986,Reagan,Brazil,Yes,C06489517,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Carol Boyd Hallett,1986,Reagan,Bahamas,Yes,C06490198,0,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
John Hubert Kelly,1986,Reagan,Lebanon,Yes,C06490880,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),Yes (English),,No,No,,No,No
Dennis Kux,1986,Reagan,Ivory Coast,Yes,C06490893,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,No
Princeton Nathan Lyman,1986,Reagan,Nigeria,Yes,C06490914,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
Patricia Gates Lynch,1986,Reagan,Comoros,Yes ,C06490922,0,,,No,No,No,No,No,Yes (producer and host of Voice of America programs),No,,No,No,,No,No,,No,No
Patricia Gates Lynch,1986,Reagan,Madagascar,Yes ,C06490922,0,,,No,No,No,No,No,Yes (producer and host of Voice of America programs),No,,No,Yes (English),,No,No,,No,No
David Lyle Mack,1986,Reagan,UAE,Yes,C06490925,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,Yes,Yes
Ronald Dewayne Palmer,1986,Reagan,Mauritius,Yes,C06490995,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Cynthia Shepard Perry,1986,Reagan,Sierra Leone,Yes,C06491018,717,,,Yes (D.Ed. in Int'l Education),No,No,No,No,Yes (Chief of Education and Human Resources Division for African Bureau at USAID),Yes,,Yes (English),No,,Yes,Yes,,Yes,Yes
Paul Dundes Wolfowitz,1986,Reagan,Indonesia,Yes,C06491102,0,,,"Yes (M.A., Ph.D. in Pol. Sci.)",No,No,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,Yes
Sam H. Zakhem,1986,Reagan,Bahrain,Yes,C06491108,0,,,"Yes (M.A., Ph.D. in Pol. Sci.; M.B.A.)",No,No,No,No,No,No,,Yes (Arabic),Yes (English),,No,No,,Yes,No
Ronald S. Lauder,1986,Reagan,Austria,Yes,C06496937,118335,,,No,No,No,No,No,Yes (DASD),Yes,,Yes (German),No,,No,No,,Yes,No
Elinor G. Constable,1986,Reagan,Kenya,Yes,C06497959,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,Yes
Donald K. Petterson,1986,Reagan,Tanzania,Yes,C06523853,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Swahili),Yes (English),,No,No,,Yes,Yes
G. Norman Anderson,1986,Reagan,Sudan,Yes,C06545536,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,Yes,Yes
Margaret M. Heckler,1986,Reagan,Ireland,Yes,C06545594,58,,,Yes (LLB),No,No,No,No,Yes (House of Reps.),Yes,,Yes (English),No,,No,No,,No,No
James D. Phillips,1986,Reagan,Burundi,Yes,C06545613,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Robie M. Palmer,1986,Reagan,Hungary,Yes,C06545618,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,Yes
Herbert E. Horowitz,1986,Reagan,Gambia,Yes,C06549300,0,,,No,Yes,Yes,Yes,No,Yes (detailed to Dept of Treasury),Yes,,Yes (English),No,,No,No,,No,No
David A. Korn,1986,Reagan,Togo,Yes,C06549356,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Charles Jule Pilliod Jr.,1986,Reagan,Mexico,Yes,C06549441,54961,,,No,No,No,No,Yes,Yes (Air Force Pilot),Yes,,Yes (Spanish),No,,No,No,,Yes,No
James W. Rawlings,1986,Reagan,Zimbabwe,Yes,C06549447,0,,,Yes (JD),No,No,No,Yes,Yes (Air Force),Yes,,Yes (English),No,,No,Yes,,Yes,No
Otto J. Reich,1986,Reagan,Venezuela,Yes,C06549450,0,,,Yes (M.A. in Latin American Studies),No,No,Yes,Yes,Yes (Navy),Yes,,Yes (Spanish),No,,No,No,,No,Yes
James Malone Rentschler,1986,Reagan,Guinea,No,C06549451,0,,,No,Yes,Yes,Yes,No,Yes (NSC),Yes,,Yes (French),No,,No,No,,Yes,No
Rockwell A. Schnabel,1986,Reagan,Finland,Yes,C06549477,53854,,,No,No,No,No,Yes,No,Yes,,No,No,,No,No,,Yes,No
Arnold L. Raphel,1987,Reagan,Pakistan,Yes,C06121850,0,,,Not reported,Yes,Yes,Deputy Assistant Secretary in Bureau of Politico-Military Affairs; Special Assistant to Under Secretary for Political Affairs; Member of Policy Planning Staff; Special Assistant to Secretary of State; Operations Center; posting in Iran,No,National Military Command Center at Dept. of Defense,Yes,,"Yes (Urdu, English)",No,,Yes (Economic/ Commercial and Political Officer in Pakistan),"Yes (Political Officer in Pakistan, Economic/Commercial Officer in Pakistan)",,No,Yes (Deputy Assistant Secretary in Bureau of Near Eastern and South Asian Affairs; Int'l Relations Officer and Staff Assistant in Bureau of Near Eastern and South Asian Affairs)
"Robert G. Rich, Jr.",1987,Reagan,Belize,Yes,C06122098,0,,,Not reported,Yes,Yes,"Political Officer in Seoul; positions in Indonesia; DCM in Manila; Office Director for Indonesia, Burma, Singapore, and Malaysia; Int'l Relations Officer in Secretariat; Personnel Officer; Director of Office of Korean Affairs",No,No,Yes,,Yes (English),No,,No,No,,Yes (Trinidad & Tobago),Yes (DCM in Port of Spain)
Melissa F. Wells,1987,Reagan,Mozambique,Yes,C06122192,0,,,No,Yes,Yes,"U.S. Rep. to ECOSOC; served in Port-of-Spain, Paris, London, and Brasilia; Intelligence and Research Specialist; Economic-Commercial Officer and Personnel Officer",No,No,Yes,,Yes (Portuguese) ,No,,No,No,,"Yes (Uganda, Guinea-Bissau)",Yes (Special Rep of Secretary General for Relief Operations in Uganda)
Daryl Arnold,1987,Reagan,Singapore,Yes,C06489155,15701,,,No,No,No,No,Yes,No,Yes,,Yes (English),No,,No,No,,No,Yes (Member of U.S.-Japan Advisory Commission)
Everett E. Bierman,1987,Reagan,Vanuatu,Yes,C06489178,143,,,Yes (M.A.),No,No,No,Yes,Yes (Minority Staff Director for House Committee on Foreign Affairs),Yes,,Yes (English),No,,No,No,,No,No
James Keough Bishop,1987,Reagan,Liberia,Yes,C06489201,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Trusten Frank Crigler,1987,Reagan,Somalia,Yes,C06489297,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Willard Ames De Pree,1987,Reagan,Bangladesh,Yes,C06489314,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,No
Mark L. Edelman,1987,Reagan,Cameroon,Yes ,C06489326,60,,,Yes (M.P.A.),No,No,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,Yes
Thomas C. Ferguson,1987,Reagan,Brunei,Yes ,C06489332,39818,,,Yes (J.D.),No,No,No,No,Yes (Deputy Commissioner of INS),Yes,,No,Yes (English),,No,No,,No,No
Robert Maxwell Pringle,1987,Reagan,Mali,Yes,C06489348,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
John Shad,1987,Reagan,Netherlands,Yes,C06489495,50416,,,"Yes (M.B.A., LLB)",No,No,No,Yes,Yes (U.S. Navy),Yes,,No,No,,No,No,,No,No
David H. Shinn,1987,Reagan,Burkina Faso,Yes,C06489512,0,,,"Yes (M.A. in Int'l Rel., Ph.D. in Pol. Sci.)",Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Leonard Grant Shurtleff,1987,Reagan,Republic of Congo,Yes,C06489524,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Robert M. Smalley,1987,Reagan,Lesotho,Yes,C06489525,0,,,No,No,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Peter R. Sommer,1987,Reagan,Malta,Yes,C06489528,0,,,"Yes (""graduate work at Inst. for Pol. Studies in Paris"")",No,No,No,No,Yes (Nat'l Security Council Staff),No,,Yes (English),No,,No,No,,Yes,No
